FEC ID,STATE,STATE ABBREVIATION,GENERAL ELECTION DATE,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,GENERAL RESULTS,TOTAL VOTES #,GENERAL %,WINNER INDICATOR
P60004405,New Jersey,NJ,11/8/16,Monica,Moorehead,"Moorehead, Monica",,WW,"1,749",,0.05%,
P60004405,Wisconsin,WI,11/8/16,Monica,Moorehead,"Moorehead, Monica",,WW,"1,770",,0.06%,
P20003984,Wisconsin,WI,11/8/16,Jill,Stein,"Stein, Jill",,WG,"31,072",,1.04%,
P00003392,New York,NY,11/8/16,Hillary,Clinton,"Clinton, Hillary",,WF,"140,043",,1.81%,
P00003392,New York,NY,11/8/16,Hillary,Clinton,"Clinton, Hillary",,WEP,"36,292",,0.47%,
,Alabama,AL,11/8/16,,Scattered,"Scattered, ",,W,"21,712",,1.02%,
,Alaska,AK,11/8/16,,Scattered,Scattered,,W,"9,201",,2.89%,
,Arizona,AZ,11/8/16,Ben,Hartnell,"Hartnell, Ben",,W,11,,0.00%,
,Arizona,AZ,11/8/16,Marshall,Schoenke,"Schoenke, Marshall",,W,4,,0.00%,
,Arizona,AZ,11/8/16,Michael,Corsetti,"Corsetti, Michael",,W,3,,0.00%,
,Colorado,CO,11/8/16,David,Perry,"Perry, David",,W,11,,0.00%,
,Colorado,CO,11/8/16,Corey,Sterner,"Sterner, Corey",,W,6,,0.00%,
,Colorado,CO,11/8/16,Bruce,Lohmiller,"Lohmiller, Bruce",,W,3,,0.00%,
,Colorado,CO,11/8/16,Thomas J.,Nieman,"Nieman, Thomas J.",,W,1,,0.00%,
,Connecticut,CT,11/8/16,Jeffrey A.,Cooper,"Cooper, Jeffrey A.",,W,57,,0.00%,
,Connecticut,CT,11/8/16,Ronald,Evans,"Evans, Ronald",,W,44,,0.00%,
,Connecticut,CT,11/8/16,Jeffrey Anthony,Wu,"Wu, Jeffrey Anthony",,W,18,,0.00%,
,Connecticut,CT,11/8/16,Marshall,Schoenke,"Schoenke, Marshall",,W,15,,0.00%,
,Connecticut,CT,11/8/16,Paul E.,Blumenthal,"Blumenthal, Paul E.",,W,12,,0.00%,
,Connecticut,CT,11/8/16,"Jeffrey John, Jr.",Klojzy,"Klojzy, Jeffrey John, Jr.",,W,6,,0.00%,
,Connecticut,CT,11/8/16,Darryl,Cummings,"Cummings, Darryl",,W,5,,0.00%,
,Delaware,DE,11/8/16,,Other,Other,,W,"1,407",,0.32%,
,Delaware,DE,11/8/16,Benjamin,Hartnell,"Hartnell, Benjamin",,W,3,,0.00%,
,Delaware,DE,11/8/16,David,Limbaugh,"Limbaugh, David",,W,3,,0.00%,
,Delaware,DE,11/8/16,Ryan Alan,Scott,"Scott, Ryan Alan",,W,2,,0.00%,
,Delaware,DE,11/8/16,Richard,Duncan,"Duncan, Richard",,W,1,,0.00%,
,Delaware,DE,11/8/16,Matthew Water,Stout,"Stout, Matthew Water",,W,1,,0.00%,
,District of Columbia,DC,11/8/16,,Scattered,Scattered,,W,"6,551",,2.10%,
,Florida,FL,11/8/16,Richard,Duncan,"Duncan, Richard",,W,25,,0.00%,
,Florida,FL,11/8/16,"Anthony ""Tony"" Joseph",Valdivia,"Valdivia, Anthony ""Tony"" Joseph",,W,9,,0.00%,
,Georgia,GA,11/8/16,Sandra,Wilson,"Wilson, Sandra",,W,32,,0.00%,
,Georgia,GA,11/8/16,Ricky,Muhammad,"Muhammad, Ricky",,W,30,,0.00%,
,Georgia,GA,11/8/16,Loren,Collins,"Collins, Loren",,W,22,,0.00%,
,Georgia,GA,11/8/16,David C.,Byrne,"Byrne, David C.",,W,8,,0.00%,
,Georgia,GA,11/8/16,Stephen L.,Allen,"Allen, Stephen L.",,W,5,,0.00%,
,Georgia,GA,11/8/16,Marc,Urbach,"Urbach, Marc",,W,5,,0.00%,
,Illinois,IL,11/8/16,James,Anderson,"Anderson, James",,W,61,,0.00%,
,Illinois,IL,11/8/16,Phillip,Seeberg,"Seeberg, Phillip",,W,27,,0.00%,
,Illinois,IL,11/8/16,Marshall Roy,Schoenke,"Schoenke, Marshall Roy",,W,25,,0.00%,
,Illinois,IL,11/8/16,Kevin,McKee,"McKee, Kevin",,W,24,,0.00%,
,Illinois,IL,11/8/16,David G.,Stack,"Stack, David G.",,W,10,,0.00%,
,Illinois,IL,11/8/16,Matthew ,Roberts,"Roberts, Matthew ",,W,8,,0.00%,
,Illinois,IL,11/8/16,Jonathan ,Lee,"Lee, Jonathan ",,W,7,,0.00%,
,Illinois,IL,11/8/16,Ben,Hartnell,"Hartnell, Ben",,W,6,,0.00%,
,Illinois,IL,11/8/16,Author C.,Brumfield,"Brumfield, Author C.",,W,5,,0.00%,
,Illinois,IL,11/8/16,Duff Cooper,Smith,"Smith, Duff Cooper",,W,4,,0.00%,
,Illinois,IL,11/8/16,Timothy B.,Meluch,"Meluch, Timothy B.",,W,3,,0.00%,
,Illinois,IL,11/8/16,Roy Wayne,Tyree,"Tyree, Roy Wayne",,W,3,,0.00%,
,Illinois,IL,11/8/16,Mark J.,Harper,"Harper, Mark J.",,W,1,,0.00%,
,Illinois,IL,11/8/16,Nathan,Johnson,"Johnson, Nathan",,W,1,,0.00%,
,Illinois,IL,11/8/16,James T.,Struck,"Struck, James T.",,W,1,,0.00%,
,Indiana,IN,11/8/16,Matthew ,Roberts,"Roberts, Matthew ",,W,148,,0.01%,
,Indiana,IN,11/8/16,Denny Carroll,Jackson,"Jackson, Denny Carroll",,W,121,,0.00%,
,Indiana,IN,11/8/16,Melissa L.,Kelly,"Kelly, Melissa L.",,W,44,,0.00%,
,Indiana,IN,11/8/16,Richard,Duncan,"Duncan, Richard",,W,25,,0.00%,
,Indiana,IN,11/8/16,Richard G.,Mullis,"Mullis, Richard G.",,W,22,,0.00%,
,Iowa,IA,11/8/16,,Scattered,Scattered,,W,"17,746",,1.13%,
,Kentucky,KY,11/8/16,Denny Carroll,Jackson,"Jackson, Denny Carroll",,W,18,,0.00%,
,Kentucky,KY,11/8/16,Craig,Ellis,"Ellis, Craig",,W,14,,0.00%,
,Kentucky,KY,11/8/16,Timothy Allen,Stevens,"Stevens, Timothy Allen",,W,12,,0.00%,
,Kentucky,KY,11/8/16,"Richard Turner, Jr.",Luesing,"Luesing, Richard Turner, Jr.",,W,6,,0.00%,
,Kentucky,KY,11/8/16,Ben,Hartnell,"Hartnell, Ben",,W,5,,0.00%,
,Kentucky,KY,11/8/16,David,Perry,"Perry, David",,W,4,,0.00%,
,Kentucky,KY,11/8/16,Richard,Duncan,"Duncan, Richard",,W,2,,0.00%,
,Kentucky,KY,11/8/16,Marshall,Schoenke,"Schoenke, Marshall",,W,2,,0.00%,
,Kentucky,KY,11/8/16,William Martin,Ling,"Ling, William Martin",,W,1,,0.00%,
,Maryland,MD,11/8/16,,Other,Other,,W,"33,263",,1.20%,
,Maryland,MD,11/8/16,Janet L.,Reid,"Reid, Janet L.",,W,53,,0.00%,
,Maryland,MD,11/8/16,Martin,Carlisle,"Carlisle, Martin",,W,51,,0.00%,
,Maryland,MD,11/8/16,Jacqueline,Gates,"Gates, Jacqueline",,W,36,,0.00%,
,Maryland,MD,11/8/16,Ben,Hartnell,"Hartnell, Ben",,W,24,,0.00%,
,Maryland,MD,11/8/16,Richard,Duncan,"Duncan, Richard",,W,18,,0.00%,
,Maryland,MD,11/8/16,Dana E.,Brown,"Brown, Dana E.",,W,15,,0.00%,
,Maryland,MD,11/8/16,Sistah,Soldjah,"Soldjah, Sistah",,W,13,,0.00%,
,Maryland,MD,11/8/16,Coop,Smith,"Smith, Coop",,W,11,,0.00%,
,Maryland,MD,11/8/16,Anthony Tony J.,Valdivia,"Valdivia, Anthony Tony J.",,W,11,,0.00%,
,Maryland,MD,11/8/16,Maurice,Symonette,"Symonette, Maurice",,W,10,,0.00%,
,Maryland,MD,11/8/16,Marshall,Schoenke,"Schoenke, Marshall",,W,3,,0.00%,
,Maryland,MD,11/8/16,J. J.,Vogel-Walcutt,"Vogel-Walcutt, J. J.",,W,2,,0.00%,
,Maryland,MD,11/8/16,Richard Baxter,Edgell,"Edgell, Richard Baxter",,W,1,,0.00%,
,Maryland,MD,11/8/16,Doug,Terry,"Terry, Doug",,W,1,,0.00%,
,Maryland,MD,11/8/16,Mitchell,Williams,"Williams, Mitchell",,W,1,,0.00%,
,Massachusetts,MA,11/8/16,,All Others,All Others,,W,"50,488",,1.52%,
,Massachusetts,MA,11/8/16,William,Feegbeh,"Feegbeh, William",,W,28,,0.00%,
,Michigan,MI,11/8/16,Ben ,Hartnell,"Hartnell, Ben ",,W,39,,0.00%,
,Minnesota,MN,11/8/16,,Scattered,Scattered,,W,"26,714",,0.91%,
,Minnesota,MN,11/8/16,"Jeffrey Ryan, Sr.",Wharton,"Wharton, Jeffrey Ryan, Sr.",,W,53,,0.00%,
,Minnesota,MN,11/8/16,Henry,Bartlett,"Bartlett, Henry",,W,41,,0.00%,
,Minnesota,MN,11/8/16,Daniel,Muffoletto,"Muffoletto, Daniel",,W,29,,0.00%,
,Minnesota,MN,11/8/16,Dennis Andrew,Ball,"Ball, Dennis Andrew",,W,24,,0.00%,
,Minnesota,MN,11/8/16,Arthur E.,Sidner,"Sidner, Arthur E.",,W,4,,0.00%,
,Minnesota,MN,11/8/16,Kirk,Wettschreck,"Wettschreck, Kirk",,W,4,,0.00%,
,Minnesota,MN,11/8/16,Ben,Hartnell,"Hartnell, Ben",,W,2,,0.00%,
,Minnesota,MN,11/8/16,Roger,Koplitz,"Koplitz, Roger",,W,2,,0.00%,
,Minnesota,MN,11/8/16,Srinivasa K.,Mallapadi,"Mallapadi, Srinivasa K.",,W,2,,0.00%,
,Minnesota,MN,11/8/16,Micah,Payeur,"Payeur, Micah",,W,2,,0.00%,
,Minnesota,MN,11/8/16,Richard,Duncan,"Duncan, Richard",,W,1,,0.00%,
,Minnesota,MN,11/8/16,Eric,Gerhard,"Gerhard, Eric",,W,1,,0.00%,
,Minnesota,MN,11/8/16,Darin,Lynch,"Lynch, Darin",,W,1,,0.00%,
,Minnesota,MN,11/8/16,Matthew,Roberts,"Roberts, Matthew",,W,1,,0.00%,
,Minnesota,MN,11/8/16,Platt,Robertson,"Robertson, Platt",,W,1,,0.00%,
,Minnesota,MN,11/8/16,Derrick,Schumacher,"Schumacher, Derrick",,W,1,,0.00%,
,Minnesota,MN,11/8/16,Keith Richard,Snell,"Snell, Keith Richard",,W,1,,0.00%,
,Missouri,MO,11/8/16,Marshall,Schoenke,"Schoenke, Marshall",,W,3,,0.00%,
,Nebraska,NE,11/8/16,,Scattered,Scattered,,W,"16,051",,1.90%,
,New Hampshire,NH,11/8/16,,Scattered,Scattered,,W,"2,411",,0.32%,
,New Hampshire,NH,11/8/16,Mike,Pence,"Pence, Mike",,W,937,,0.13%,
,New Hampshire,NH,11/8/16,Paul,Ryan,"Ryan, Paul",,W,280,,0.04%,
,New Hampshire,NH,11/8/16,Ron or Rand,Paul,"Paul, Ron or Rand",,W,98,,0.01%,
,New Hampshire,NH,11/8/16,Vermin,Supreme,"Supreme, Vermin",,W,58,,0.01%,
,New York,NY,11/8/16,,Scattered,Scattered,,W,"48,343",,0.63%,
,New York,NY,11/8/16,Jason,Mutford,"Mutford, Jason",,W,85,,0.00%,
,New York,NY,11/8/16,Ben,Hartnell,"Hartnell, Ben",,W,42,,0.00%,
,New York,NY,11/8/16,Ariel ,Cohen,"Cohen, Ariel ",,W,33,,0.00%,
,New York,NY,11/8/16,William J.,Connolly,"Connolly, William J.",,W,30,,0.00%,
,New York,NY,11/8/16,Jeffrey,Mackler,"Mackler, Jeffrey",,W,15,,0.00%,
,New York,NY,11/8/16,Neer R.,Asherie,"Asherie, Neer R.",,W,9,,0.00%,
,New York,NY,11/8/16,Michael Frederick,Ingbar,"Ingbar, Michael Frederick",,W,8,,0.00%,
,New York,NY,11/8/16,Jason,Fried,"Fried, Jason",,W,6,,0.00%,
,New York,NY,11/8/16,Robert M.,Wolff,"Wolff, Robert M.",,W,5,,0.00%,
,New York,NY,11/8/16,Tony,Valdivia,"Valdivia, Tony",,W,4,,0.00%,
,New York,NY,11/8/16,Marshall,Schoenke,"Schoenke, Marshall",,W,3,,0.00%,
,New York,NY,11/8/16,Ryan Alan,Scott,"Scott, Ryan Alan",,W,3,,0.00%,
,New York,NY,11/8/16,Mark  ,Blickley,"Blickley, Mark  ",,W,2,,0.00%,
,New York,NY,11/8/16,Esther,Welsh,"Welsh, Esther",,W,1,,0.00%,
,New York,NY,11/8/16,Barbara,Whitaker,"Whitaker, Barbara",,W,1,,0.00%,
,North Carolina,NC,11/8/16,,Scattered,Scattered,,W,"47,386",,1.00%,
,North Dakota,ND,11/8/16,,Scattered,Scattered,,W,"6,397",,1.86%,
,Ohio,OH,11/8/16,Ben ,Hartnell,"Hartnell, Ben ",,W,589,,0.01%,
,Ohio,OH,11/8/16,Josiah R.,Stroh,"Stroh, Josiah R.",,W,30,,0.00%,
,Ohio,OH,11/8/16,Barry ,Kirschner,"Kirschner, Barry ",,W,15,,0.00%,
,Ohio,OH,11/8/16,Bruce E. ,Jaynes,"Jaynes, Bruce E. ",,W,8,,0.00%,
,Oregon,OR,11/8/16,,Miscellaneous,Miscellaneous,,W,"72,594",,3.63%,
,Pennsylvania,PA,11/8/16,,Scattered,Scattered,,W,"37,239",,0.60%,
,Rhode Island,RI,11/8/16,,Scattered,Scattered,,W,"2,121",,0.46%,
,Rhode Island,RI,11/8/16,Michael,Pence,"Pence, Michael",,W,291,,0.06%,
,Rhode Island,RI,11/8/16,Paul,Ryan,"Ryan, Paul",,W,249,,0.05%,
,Rhode Island,RI,11/8/16,Tom (Thomas),Brady,"Brady, Tom (Thomas)",,W,86,,0.02%,
,Rhode Island,RI,11/8/16,Mickey,Mouse,"Mouse, Mickey",,W,79,,0.02%,
,Rhode Island,RI,11/8/16,Jesus,"""Christ""","""Christ,"" Jesus ",,W,70,,0.02%,
,Rhode Island,RI,11/8/16,,None of the above,None of the above,,W,70,,0.02%,
,Rhode Island,RI,11/8/16,Colin,Powell,"Powell, Colin",,W,41,,0.01%,
,Rhode Island,RI,11/8/16,Michelle,Obama,"Obama, Michelle",,W,34,,0.01%,
,Rhode Island,RI,11/8/16,Condoleeza,Rice,"Rice, Condoleeza",,W,26,,0.01%,
,Rhode Island,RI,11/8/16,,God (Almighty),God (Almighty),,W,20,,0.00%,
,Rhode Island,RI,11/8/16,Bill (William),Belichek,"Belichek, Bill (William)",,W,19,,0.00%,
,Rhode Island,RI,11/8/16,Todd,Chrisley,"Chrisley, Todd",,W,19,,0.00%,
,Rhode Island,RI,11/8/16,,None,None,,W,19,,0.00%,
,Rhode Island,RI,11/8/16,Ted,Cohen,"Cohen, Ted",,W,18,,0.00%,
,Rhode Island,RI,11/8/16,Donald,Duck,"Duck, Donald",,W,18,,0.00%,
,Rhode Island,RI,11/8/16,Vermin,Supreme,"Supreme, Vermin",,W,17,,0.00%,
,Rhode Island,RI,11/8/16,,Harambe,Harambe,,W,15,,0.00%,
,Rhode Island,RI,11/8/16,,No Confidence,No Confidence,,W,15,,0.00%,
,Rhode Island,RI,11/8/16,Abe (Abraham),Lincoln,"Lincoln, Abe (Abraham)",,W,13,,0.00%,
,Rhode Island,RI,11/8/16,Matt,Fecteau,"Fecteau, Matt",,W,8,,0.00%,
,Rhode Island,RI,11/8/16,Trey,Gowdy,"Gowdy, Trey",,W,8,,0.00%,
,Rhode Island,RI,11/8/16,Alfred E.,Neuman,"Neuman, Alfred E.",,W,8,,0.00%,
,Rhode Island,RI,11/8/16,,No one,No one,,W,8,,0.00%,
,Rhode Island,RI,11/8/16,Jesse,Ventura,"Ventura, Jesse",,W,8,,0.00%,
,Rhode Island,RI,11/8/16,,Anyone Else,Anyone Else,,W,7,,0.00%,
,Rhode Island,RI,11/8/16,Jimmy,Buffett,"Buffett, Jimmy",,W,7,,0.00%,
,Rhode Island,RI,11/8/16,Tim,Kaine,"Kaine, Tim",,W,7,,0.00%,
,Rhode Island,RI,11/8/16,,Pope Francis,Pope Francis,,W,7,,0.00%,
,Rhode Island,RI,11/8/16,,Me,Me,,W,6,,0.00%,
,Rhode Island,RI,11/8/16,,,,,W,6,,0.00%,
,Rhode Island,RI,11/8/16,David,Norton,"Norton, David",,W,6,,0.00%,
,Rhode Island,RI,11/8/16,Theodore,Roosevelt,"Roosevelt, Theodore",,W,6,,0.00%,
,Rhode Island,RI,11/8/16,,Abstain,Abstain,,W,5,,0.00%,
,Rhode Island,RI,11/8/16,Warren,Buffet,"Buffet, Warren",,W,5,,0.00%,
,Rhode Island,RI,11/8/16,Alice,Cooper,"Cooper, Alice",,W,5,,0.00%,
,Rhode Island,RI,11/8/16,,God Help Us,God Help Us,,W,5,,0.00%,
,Rhode Island,RI,11/8/16,"Robert (Bob) ""Cool Moose""",Healey,"Healey, Robert (Bob) ""Cool Moose""",,W,5,,0.00%,
,Rhode Island,RI,11/8/16,Bill,Murray,"Murray, Bill",,W,5,,0.00%,
,Rhode Island,RI,11/8/16,Ronald,Reagan,"Reagan, Ronald",,W,5,,0.00%,
,Rhode Island,RI,11/8/16,Jack,Reed,"Reed, Jack",,W,5,,0.00%,
,Rhode Island,RI,11/8/16,,Unity Love Harmony,Unity Love Harmony,,W,5,,0.00%,
,Rhode Island,RI,11/8/16,George,Washington,"Washington, George",,W,5,,0.00%,
,Tennessee,TN,11/8/16,David,Limbaugh,"Limbaugh, David",,W,53,,0.00%,
,Tennessee,TN,11/8/16,Marshall,Schoenke,"Schoenke, Marshall",,W,3,,0.00%,
,Texas,TX,11/8/16,Tony,Valdivia,"Valdivia, Tony",,W,428,,0.00%,
,Texas,TX,11/8/16,Robert,Morrow,"Morrow, Robert",,W,145,,0.00%,
,Texas,TX,11/8/16,Dale,Steffes,"Steffes, Dale",,W,71,,0.00%,
,Texas,TX,11/8/16,Jonathan,Lee,"Lee, Jonathan",,W,67,,0.00%,
,Utah,UT,11/8/16,Jamin,Burton,"Burton, Jamin",,W,1,,0.00%,
,Utah,UT,11/8/16,Tony,Valdivia,"Valdivia, Tony",,W,1,,0.00%,
,Vermont,VT,11/8/16,,Scattered,Scattered,,W,"1,478",,0.47%,
,Vermont,VT,11/8/16,Michael R.,Pence,"Pence, Michael R.",,W,298,,0.09%,
,Vermont,VT,11/8/16,,No Name,No Name,,W,255,,0.08%,
,Vermont,VT,11/8/16,Paul,Ryan,"Ryan, Paul",,W,208,,0.07%,
,Vermont,VT,11/8/16,Jim,Douglas,"Douglas, Jim",,W,75,,0.02%,
,Vermont,VT,11/8/16,Colin,Powell,"Powell, Colin",,W,25,,0.01%,
,Vermont,VT,11/8/16,Condoleeza,Rice,"Rice, Condoleeza",,W,18,,0.01%,
,Vermont,VT,11/8/16,Tulsi,Gabard,"Gabard, Tulsi",,W,17,,0.01%,
,Vermont,VT,11/8/16,Michelle,Obama,"Obama, Michelle",,W,15,,0.00%,
,Vermont,VT,11/8/16,Theo,Epstein,"Epstein, Theo",,W,11,,0.00%,
,Vermont,VT,11/8/16,Vermin,Supreme,"Supreme, Vermin",,W,10,,0.00%,
,Vermont,VT,11/8/16,Tom,Brady,"Brady, Tom",,W,9,,0.00%,
,Vermont,VT,11/8/16,David ,Ortiz,"Ortiz, David ",,W,8,,0.00%,
,Vermont,VT,11/8/16,Bill,Belichek,"Belichek, Bill",,W,7,,0.00%,
,Vermont,VT,11/8/16,Patrick,Leahy,"Leahy, Patrick",,W,7,,0.00%,
,Vermont,VT,11/8/16,Fred,Tuttle,"Tuttle, Fred",,W,6,,0.00%,
,Vermont,VT,11/8/16,William,Weld,"Weld, William",,W,5,,0.00%,
,Virginia,VA,11/8/16,,All Others,All Others,,W,"33,749",,0.85%,
,Washington,WA,11/8/16,,Scattered,Scattered,,W,"107,805",,3.25%,
,West Virginia,WV,11/8/16,David ,Limbaugh,"Limbaugh, David ",,W,3,,0.00%,
,West Virginia,WV,11/8/16,Richard,Duncan,"Duncan, Richard",,W,1,,0.00%,
,West Virginia,WV,11/8/16,Ben ,Hartnell,"Hartnell, Ben ",,W,1,,0.00%,
,West Virginia,WV,11/8/16,Mitchell,Williams,"Williams, Mitchell",,W,1,,0.00%,
,Wisconsin,WI,11/8/16,,Scattered,Scattered,,W,"22,764",,0.76%,
,Wisconsin,WI,11/8/16,Marshall,Schoenke,"Schoenke, Marshall",,W,1,,0.00%,
,Wyoming,WY,11/8/16,,Scattered,Scattered,,W,"6,904",,2.70%,
P00003962,Kansas,KS,11/8/16,Joe C.,Schriner,"Schriner, Joe C.",,W,3,,0.00%,
P00003962,Maryland,MD,11/8/16,Joe,Schriner,"Schriner, Joe",,W,9,,0.00%,
P00003962,Minnesota,MN,11/8/16,Joe,Schriner,"Schriner, Joe",,W,4,,0.00%,
P00003962,Montana,MT,11/8/16,Joe,Schriner,"Schriner, Joe",,W,1,,0.00%,
P00003962,Ohio,OH,11/8/16,Joe  ,Schriner,"Schriner, Joe  ",,W,62,,0.00%,
P00004861,Ohio,OH,11/8/16,Michael ,Bickelmeyer,"Bickelmeyer, Michael ",,W,6,,0.00%,
P20000527,Vermont,VT,11/8/16,Ralph,Nader,"Nader, Ralph",,W,7,,0.00%,
P20002630,Arizona,AZ,11/8/16,"Sheila ""Samm""",Tittle,"Tittle, Sheila ""Samm""",,W,12,,0.00%,
P20002630,Kentucky,KY,11/8/16,"Sheila ""Samm""",Tittle,"Tittle, Sheila ""Samm""",,W,1,,0.00%,
P20002630,Utah,UT,11/8/16,"Sheila ""Samm""",Tittle,"Tittle, Sheila ""Samm""",,W,1,,0.00%,
P20003984,Georgia,GA,11/8/16,Jill,Stein,"Stein, Jill",,W,"7,674",,0.19%,
P20003984,Indiana,IN,11/8/16,Jill,Stein,"Stein, Jill",,W,"7,841",,0.29%,
P20003984,North Carolina,NC,11/8/16,Jill,Stein,"Stein, Jill",,W,"12,105",,0.26%,
